Date,Price,Open,High,Low,Vol.,Change %
2018-10-15,10512.5,10524.2,10526.3,10410.15,267.52M,0.0038
2018-10-12,10472.5,10331.55,10492.45,10322.15,354.06M,0.0232
2018-10-11,10234.65,10169.8,10335.95,10138.6,498.51M,-0.0216
2018-10-10,10460.1,10331.85,10482.35,10318.25,373.84M,0.0154
2018-10-09,10301.05,10390.3,10397.6,10279.35,443.80M,-0.0045
2018-10-08,10348.05,10310.15,10398.35,10198.4,470.28M,0.0031
2018-10-05,10316.45,10514.1,10540.65,10261.9,625.15M,-0.0267
2018-10-04,10599.25,10754.7,10754.7,10547.25,438.20M,-0.0239
2018-10-03,10858.25,10982.7,10989.05,10843.75,398.76M,-0.0136
2018-10-01,11008.3,10930.9,11035.65,10821.55,398.99M,0.0071
2018-09-28,10930.45,11008.1,11034.1,10850.3,492.89M,-0.0043
2018-09-27,10977.55,11079.8,11089.45,10953.35,418.21M,-0.0069
2018-09-26,11053.8,11145.55,11145.55,10993.05,351.04M,-0.0012
2018-09-25,11067.45,10969.95,11080.6,10882.85,417.55M,0.0091
2018-09-24,10967.4,11164.4,11170.15,10943.6,398.82M,-0.0158
2018-09-21,11143.1,11271.3,11346.8,10866.45,741.15M,-0.0081
2018-09-19,11234.35,11326.65,11332.05,11210.9,258.42M,-0.0039
2018-09-18,11278.9,11381.55,11411.45,11268.95,248.30M,-0.0087
2018-09-17,11377.75,11464.95,11464.95,11366.9,207.62M,-0.0119
2018-09-14,11515.2,11443.5,11523.25,11430.55,285.22M,0.0128
2018-09-12,11369.9,11340.1,11380.75,11250.2,276.51M,0.0073
2018-09-11,11287.5,11476.85,11479.4,11274.0,318.09M,-0.0132
2018-09-10,11438.1,11570.25,11573.0,11427.3,295.60M,-0.013
2018-09-07,11589.1,11558.25,11603.0,11484.4,305.03M,0.0045
2018-09-06,11536.9,11514.15,11562.25,11436.05,255.56M,0.0052
2018-09-05,11476.95,11514.85,11542.65,11393.85,253.69M,-0.0038
2018-09-04,11520.3,11598.75,11602.55,11496.85,262.70M,-0.0054
2018-09-03,11582.35,11751.8,11751.8,11567.4,241.73M,-0.0084
2018-08-31,11680.5,11675.85,11727.65,11640.1,357.23M,0.0003
2018-08-30,11676.8,11694.75,11698.8,11639.7,323.45M,-0.0013
2018-08-29,11691.9,11744.95,11753.2,11678.85,259.35M,-0.004
2018-08-28,11738.5,11731.95,11760.2,11710.5,249.42M,0.004
2018-08-27,11691.95,11605.85,11700.95,11595.6,205.69M,0.0117
2018-08-24,11557.1,11566.6,11604.6,11532.0,225.60M,-0.0022
2018-08-23,11582.75,11620.7,11620.7,11546.7,256.16M,0.001
2018-08-21,11570.9,11576.2,11581.75,11539.6,231.06M,0.0017
2018-08-20,11551.75,11502.1,11565.3,11499.65,239.84M,0.0071
2018-08-17,11470.75,11437.15,11486.45,11431.8,241.99M,0.0075
2018-08-16,11385.05,11397.15,11449.85,11366.25,299.61M,-0.0044
2018-08-14,11435.1,11381.7,11452.45,11370.8,239.84M,0.007
2018-08-13,11355.75,11369.6,11406.3,11340.3,254.47M,-0.0065
2018-08-10,11429.5,11474.95,11478.75,11419.65,336.42M,-0.0036
2018-08-09,11470.7,11493.25,11495.2,11454.1,311.52M,0.0018
2018-08-08,11450.0,11412.5,11459.95,11379.3,217.05M,0.0053
2018-08-07,11389.45,11423.15,11428.95,11359.7,233.41M,0.0002
2018-08-06,11387.1,11401.5,11427.65,11370.6,210.00M,0.0023
2018-08-03,11360.8,11297.8,11368.0,11294.55,225.15M,0.0103
2018-08-02,11244.7,11328.9,11328.9,11234.95,216.53M,-0.0089
2018-08-01,11346.2,11359.8,11390.55,11313.55,278.01M,-0.0009
2018-07-31,11356.5,11311.05,11366.0,11267.75,264.43M,0.0033
2018-07-30,11319.55,11296.65,11328.1,11261.45,287.44M,0.0037
2018-07-27,11278.35,11232.75,11283.4,11210.25,324.34M,0.0099
2018-07-26,11167.3,11132.95,11185.85,11125.7,376.66M,0.0032
2018-07-25,11132.0,11148.4,11157.15,11113.25,212.33M,-0.0002
2018-07-24,11134.3,11109.0,11143.4,11092.5,212.25M,0.0045
2018-07-23,11084.75,11019.85,11093.4,11010.95,236.15M,0.0068
2018-07-20,11010.2,10963.5,11030.25,10946.2,193.14M,0.0048
2018-07-19,10957.1,10999.5,11006.5,10935.45,222.06M,-0.0021
2018-07-18,10980.45,11060.2,11076.2,10956.3,232.50M,-0.0025
2018-07-17,11008.05,10939.65,11018.5,10925.6,217.11M,0.0065
2018-07-16,10936.85,11018.95,11019.5,10926.25,216.97M,-0.0074
2018-07-13,11018.9,11056.9,11071.35,10999.75,241.67M,-0.0004
2018-07-12,11023.2,11006.95,11078.3,10999.65,256.04M,0.0068
2018-07-11,10948.3,10956.4,10976.65,10923.0,229.21M,0.0001
2018-07-10,10947.25,10902.75,10956.9,10876.65,203.06M,0.0087
2018-07-09,10852.9,10838.3,10860.35,10807.15,189.33M,0.0074
2018-07-06,10772.65,10744.15,10816.35,10735.05,256.55M,0.0021
2018-07-05,10749.75,10786.05,10786.05,10726.25,227.27M,-0.0019
2018-07-04,10769.9,10715.0,10777.15,10677.75,179.27M,0.0065
2018-07-03,10699.9,10668.6,10713.3,10630.25,208.37M,0.004
2018-07-02,10657.3,10732.35,10736.15,10604.65,304.54M,-0.0053
2018-06-29,10714.3,10612.85,10723.05,10612.35,250.33M,0.0118
2018-06-28,10589.1,10660.8,10674.2,10557.7,363.16M,-0.0077
2018-06-27,10671.4,10785.5,10785.5,10652.4,253.62M,-0.0091
2018-06-26,10769.15,10742.7,10805.25,10732.55,226.85M,0.0006
2018-06-25,10762.45,10822.9,10831.05,10753.05,236.69M,-0.0055
2018-06-22,10821.85,10742.7,10837.0,10710.45,236.90M,0.0075
2018-06-21,10741.1,10808.45,10809.6,10725.9,230.51M,-0.0029
2018-06-20,10772.05,10734.65,10781.8,10724.05,199.47M,0.0058
2018-06-19,10710.45,10789.45,10789.45,10701.2,231.38M,-0.0083
2018-06-18,10799.85,10830.2,10830.2,10787.35,202.73M,-0.0017
2018-06-15,10817.7,10808.65,10834.0,10755.4,314.76M,0.0009
2018-06-14,10808.05,10832.9,10833.7,10773.55,190.03M,-0.0045
2018-06-13,10856.7,10887.5,10893.25,10842.65,220.00M,0.0013
2018-06-12,10842.85,10816.15,10856.55,10789.4,204.42M,0.0052
2018-06-11,10786.95,10781.85,10850.55,10777.05,217.85M,0.0018
2018-06-08,10767.65,10736.4,10779.45,10709.05,215.94M,-0.0001
2018-06-07,10768.35,10722.6,10818.0,10722.6,227.66M,0.0078
2018-06-06,10684.65,10603.45,10698.35,10587.5,195.76M,0.0086
2018-06-05,10593.15,10630.7,10633.15,10550.9,172.90M,-0.0033
2018-06-04,10628.5,10765.95,10770.3,10618.35,210.15M,-0.0063
2018-06-01,10696.2,10738.45,10764.75,10681.5,227.36M,-0.0037
2018-05-31,10736.15,10670.1,10763.8,10620.4,629.20M,0.0115
2018-05-30,10614.35,10579.0,10648.7,10558.45,246.12M,-0.0018
2018-05-29,10633.3,10689.4,10717.25,10616.1,232.76M,-0.0052
2018-05-28,10688.65,10648.35,10709.8,10640.55,239.79M,0.0079
2018-05-25,10605.15,10533.05,10628.05,10524.0,268.92M,0.0087
2018-05-24,10513.85,10464.85,10535.15,10419.8,306.79M,0.008
2018-05-23,10430.35,10521.1,10533.55,10417.8,299.92M,-0.0101
2018-05-22,10536.7,10518.45,10558.6,10490.55,249.24M,0.0019
2018-05-21,10516.7,10616.7,10621.7,10505.8,197.29M,-0.0075
2018-05-18,10596.4,10671.85,10674.95,10589.1,229.91M,-0.0081
2018-05-17,10682.7,10775.6,10777.25,10664.5,220.74M,-0.0054
2018-05-16,10741.1,10751.95,10790.45,10699.7,238.22M,-0.0056
2018-05-15,10801.85,10812.6,10929.2,10781.4,262.20M,-0.0004
2018-05-14,10806.6,10815.15,10834.85,10774.75,176.70M,0.0
2018-05-11,10806.5,10741.95,10812.05,10724.45,209.39M,0.0084
2018-05-10,10716.55,10779.65,10785.55,10705.0,197.99M,-0.0023
2018-05-09,10741.7,10693.35,10766.25,10689.85,222.12M,0.0022
2018-05-08,10717.8,10757.9,10758.55,10689.4,278.12M,0.0002
2018-05-07,10715.5,10653.15,10725.65,10635.65,173.62M,0.0092
2018-05-04,10618.25,10700.45,10700.45,10601.6,192.30M,-0.0057
2018-05-03,10679.65,10720.15,10720.6,10647.45,190.87M,-0.0036
2018-05-02,10718.05,10783.85,10784.65,10689.8,236.76M,-0.002
2018-04-30,10739.35,10705.75,10759.0,10704.6,179.16M,0.0044
2018-04-27,10692.3,10651.65,10719.8,10647.55,306.67M,0.007
2018-04-26,10617.8,10586.5,10628.4,10559.65,345.54M,0.0045
2018-04-25,10570.55,10612.4,10612.6,10536.45,195.13M,-0.0041
2018-04-24,10614.35,10578.1,10636.8,10569.0,225.97M,0.0028
2018-04-23,10584.7,10592.8,10638.35,10514.95,200.20M,0.002
2018-04-20,10564.05,10560.35,10582.35,10527.45,252.23M,-0.0001
2018-04-19,10565.3,10563.65,10572.2,10546.2,270.74M,0.0037
2018-04-18,10526.2,10578.9,10594.2,10509.7,211.82M,-0.0021
2018-04-17,10548.7,10557.3,10560.45,10495.65,212.45M,0.0019
2018-04-16,10528.35,10398.3,10540.15,10396.35,200.95M,0.0046
2018-04-13,10480.6,10495.3,10519.9,10451.45,219.72M,0.0021
2018-04-12,10458.65,10410.65,10469.9,10395.25,246.03M,0.004
2018-04-11,10417.15,10428.15,10428.15,10355.6,258.08M,0.0014
2018-04-10,10402.25,10412.9,10424.85,10381.5,259.52M,0.0022
2018-04-09,10379.35,10333.7,10397.7,10328.5,228.51M,0.0046
2018-04-06,10331.6,10322.75,10350.45,10290.85,206.36M,0.0006
2018-04-05,10325.15,10228.45,10331.8,10227.45,244.12M,0.0194
2018-04-04,10128.4,10274.6,10279.85,10111.3,238.18M,-0.0114
2018-04-03,10245.0,10186.85,10255.35,10171.05,211.65M,0.0033
2018-04-02,10211.8,10151.65,10220.1,10127.75,232.43M,0.0097
2018-03-28,10113.7,10143.6,10158.35,10096.9,354.98M,-0.0069
2018-03-27,10184.15,10188.0,10207.9,10139.65,232.71M,0.0053
2018-03-26,10130.65,9989.15,10143.5,9958.55,270.66M,0.0133
2018-03-23,9998.05,9968.8,10027.7,9951.9,294.52M,-0.0115
2018-03-22,10114.75,10167.5,10207.85,10105.4,237.63M,-0.004
2018-03-21,10155.25,10181.95,10227.3,10132.95,211.06M,0.0031
2018-03-20,10124.35,10051.55,10155.65,10049.1,209.33M,0.003
2018-03-19,10094.25,10215.35,10224.55,10075.3,216.67M,-0.0099
2018-03-16,10195.15,10345.15,10346.3,10180.25,338.70M,-0.0159
2018-03-15,10360.15,10405.45,10420.0,10346.2,179.31M,-0.0049
2018-03-14,10410.9,10393.05,10420.35,10336.3,186.99M,-0.0015
2018-03-13,10426.85,10389.5,10478.6,10377.85,274.85M,0.0005
2018-03-12,10421.4,10301.6,10433.65,10295.45,223.14M,0.019
2018-03-09,10226.85,10271.3,10296.7,10211.9,192.33M,-0.0015
2018-03-08,10242.65,10216.25,10270.35,10146.4,233.38M,0.0087
2018-03-07,10154.2,10232.95,10243.35,10141.55,257.20M,-0.0093
2018-03-06,10249.25,10420.5,10441.35,10215.9,229.78M,-0.0106
2018-03-05,10358.85,10428.3,10428.7,10323.9,199.98M,-0.0095
2018-03-01,10458.35,10479.95,10525.5,10447.15,181.38M,-0.0033
2018-02-28,10492.85,10488.95,10535.5,10461.55,294.79M,-0.0058
2018-02-27,10554.3,10615.2,10631.65,10537.25,193.25M,-0.0027
2018-02-26,10582.6,10526.55,10592.95,10520.2,177.24M,0.0087
2018-02-23,10491.05,10408.1,10499.1,10396.65,217.13M,0.0104
2018-02-22,10382.7,10354.35,10397.55,10340.65,323.26M,-0.0014
2018-02-21,10397.45,10426.0,10426.1,10349.6,241.33M,0.0036
2018-02-20,10360.4,10391.0,10429.35,10347.65,193.46M,-0.0017
2018-02-19,10378.4,10488.9,10489.35,10302.75,193.09M,-0.0071
2018-02-16,10452.3,10596.2,10612.9,10434.05,190.04M,-0.0088
2018-02-15,10545.5,10537.9,10618.1,10511.05,217.09M,0.0042
2018-02-14,10500.9,10585.75,10590.55,10456.65,236.33M,-0.0037
2018-02-12,10539.75,10518.2,10555.5,10485.4,224.12M,0.0081
2018-02-09,10454.95,10416.5,10480.2,10398.2,197.50M,-0.0115
