Date,Price,Open,High,Low,Change %
2011-12-16,81.501,82.994,83.302,81.034,-0.0181
2011-12-15,83.001,82.892,83.983,82.844,0.0014
2011-12-14,82.884,82.173,83.441,82.162,0.008
2011-12-13,82.228,81.951,83.608,81.873,0.003
2011-12-12,81.983,81.187,82.731,81.057,0.0092
2011-12-09,81.239,80.802,81.891,80.667,0.0048
2011-12-08,80.852,81.085,81.569,80.699,-0.0033
2011-12-07,81.121,79.909,81.183,79.883,0.015
2011-12-06,79.919,80.145,80.473,79.709,-0.0038
2011-12-05,80.225,79.874,80.715,79.421,0.0059
2011-12-02,79.755,80.558,80.873,79.588,-0.0105
2011-12-01,80.605,81.808,82.017,80.45,-0.0147
2011-11-30,81.811,80.964,82.263,80.756,0.0098
2011-11-29,81.021,80.533,81.489,80.222,0.0061
2011-11-28,80.531,80.687,81.112,80.312,-0.0002
2011-11-25,80.549,80.649,81.105,80.31,-0.0015
2011-11-24,80.669,81.087,81.436,80.607,-0.0049
2011-11-23,81.064,82.037,82.108,80.886,-0.0125
2011-11-22,82.087,81.432,82.511,81.318,0.0079
2011-11-21,81.446,80.887,81.832,80.38,0.0063
2011-11-18,80.933,80.262,81.504,79.869,0.0083
2011-11-17,80.267,79.794,80.572,79.371,0.0056
2011-11-16,79.817,80.086,80.387,79.657,-0.0033
2011-11-15,80.079,80.146,80.648,79.685,-0.001
2011-11-14,80.162,80.41,80.566,79.936,-0.0027
2011-11-11,80.38,79.613,80.526,79.498,0.0091
2011-11-10,79.659,79.67,79.915,79.298,-0.0006
2011-11-09,79.703,79.353,80.471,79.194,0.0046
2011-11-08,79.335,78.573,79.647,78.519,0.0096
2011-11-07,78.579,78.722,78.836,78.308,0.0003
2011-11-04,78.554,78.791,78.958,78.153,-0.0047
2011-11-03,78.924,78.467,78.978,77.994,0.0062
2011-11-02,78.438,78.571,78.977,78.197,-0.0019
2011-11-01,78.584,78.284,78.842,78.016,0.0031
2011-10-31,78.343,78.379,78.857,77.541,-0.0005
2011-10-28,78.38,78.875,78.926,78.304,-0.0066
2011-10-27,78.898,78.987,79.317,78.684,-0.0021
2011-10-26,79.062,79.21,79.418,78.497,-0.0017
2011-10-25,79.198,79.672,79.75,78.834,-0.006
2011-10-24,79.678,79.47,79.758,79.204,0.0019
2011-10-21,79.529,78.644,79.762,78.38,0.011
2011-10-20,78.661,77.513,78.816,77.104,0.0146
2011-10-19,77.531,77.415,77.889,77.153,0.0013
2011-10-18,77.427,77.042,77.826,76.966,0.0047
2011-10-17,77.067,77.529,77.632,76.782,-0.0063
2011-10-14,77.552,77.408,77.627,77.07,0.0016
2011-10-13,77.426,77.072,77.56,76.787,0.0043
2011-10-12,77.094,76.923,77.343,76.331,0.0023
2011-10-11,76.916,76.687,77.292,76.139,0.0028
2011-10-10,76.704,76.281,76.837,76.124,0.0052
2011-10-07,76.309,75.848,76.682,75.717,0.0058
2011-10-06,75.87,76.319,76.376,75.022,-0.0061
2011-10-05,76.334,76.466,76.538,75.773,-0.0024
2011-10-04,76.516,75.838,76.555,75.665,0.0092
2011-10-03,75.817,76.318,77.049,75.716,-0.0076
2011-09-30,76.395,76.457,76.865,76.155,-0.0015
2011-09-29,76.511,76.423,76.982,76.027,0.0008
2011-09-28,76.453,76.481,76.898,76.113,-0.0004
2011-09-27,76.483,76.936,76.958,76.216,-0.0061
2011-09-26,76.949,76.324,77.101,75.997,0.0081
2011-09-23,76.329,76.055,76.849,75.799,0.0039
2011-09-22,76.036,74.935,76.482,74.413,0.015
2011-09-21,74.916,75.636,75.731,74.848,-0.0098
2011-09-20,75.657,74.998,75.677,74.59,0.0082
2011-09-19,75.038,74.42,75.316,74.091,0.0042
2011-09-16,74.727,75.121,75.178,74.538,-0.0059
2011-09-15,75.174,75.095,75.549,74.618,0.0007
2011-09-14,75.12,75.078,75.626,74.611,-0.0001
2011-09-13,75.126,74.877,75.407,74.455,0.003
2011-09-12,74.898,73.578,75.019,73.407,0.0144
2011-09-09,73.838,73.702,74.413,73.588,0.0016
2011-09-08,73.717,73.791,74.206,73.261,-0.0014
2011-09-07,73.818,73.504,73.928,73.197,0.0041
2011-09-06,73.517,74.099,74.397,73.264,-0.008
2011-09-05,74.112,73.953,74.392,73.793,-0.0019
